"total_floor_area","co2_emissions_current","co2_emissions_potential","number_habitable_rooms","average_income","london_zone","num_tube_lines","longitude","num_rail_lines","distance_to_station","population","energy_consumption_current","energy_consumption_potential","num_light_rail_lines","altitude","latitude","id","asking_price","predicted_price","profit","buy"
100,4.4,2,5,40800,3,0,0.059031,1,0.8879806,272,247,112,0,10,51.552731,13283,259000,404705.861530634,0.562570893940673,1
39,1.8,1.7,2,55400,5,0,-0.229348,1,1.2440428,75,269,263,0,42,51.370269,7063,130000,202631.837083561,0.558706439104313,1
47,2.6,1.8,2,61000,4,0,-0.261513,1,0.5008484,27,322,228,0,23,51.400425,5538,166000,257797.543161148,0.552997247958726,1
115,2.7,1.5,5,52200,3,0,-0.118786,1,0.6549556,86,133,71,0,30,51.614762,10603,416000,645738.804641727,0.552256741927227,1
63,1.5,1.5,3,44200,4,2,0.075733,0,0.571688,151,133,133,1,4,51.534002,2619,153000,237172.837037333,0.550149261681915,1
82,6.2,1.3,5,44300,5,0,-0.039213,1,0.608972,82,392,79,0,18,51.661039,15697,246000,381330.310105907,0.550123211812632,1
247,8.8,5.6,8,54400,3,1,-0.213532,0,0.9091082,31,203,128,0,52,51.585573,8846,1093000,1693723.23975598,0.549609551469333,1
39.04,2,2,2,56300,2,0,-0.08359,1,0.4511364,106,342,335,1,26,51.470159,5731,227000,351327.414216013,0.547697859982434,1
90.85,3.9,2.5,5,41900,4,0,0.115564,1,0.7469228,52,223,141,0,2,51.494333,11529,204000,314803.669142779,0.543155240895976,1
220,16,5.5,9,61500,3,0,-0.08417,0,0.5505604,19,336,112,1,82,51.359297,3406,764000,1171547.92349811,0.533439690442548,1
105,7.7,2.7,4,58900,2,0,-0.191401,1,0.7761286,35,417,146,1,7,51.470963,11281,633000,968721.117804846,0.530365115015555,1
49.3,2.9,2.1,2,47500,3,0,-0.175897,0,0.3330704,121,348,251,1,19,51.397568,8639,157000,239947.687906462,0.528329222334154,1
114,2.8,1.5,7,61900,3,0,-0.281247,1,0.2435888,76,140,74,0,7,51.467854,7092,565000,863264.516115361,0.527901798434267,1
75,2.3,1.5,3,68200,3,0,-0.274936,1,0.9314786,44,172,116,0,20,51.462636,2133,352000,536020.581983571,0.522785744271509,1
47,1.7,1.4,3,61900,5,0,-0.35435,1,1.0352524,114,205,175,0,19,51.443994,10415,193000,293741.703518249,0.521977738436524,1
98,2.6,1.2,6,53700,6,0,-0.416633,1,0.6965894,83,149,66,0,16,51.440932,8401,307000,464381.293524008,0.512642649915336,1
100.07,6.2,5.1,5,42600,3,0,-0.073036,0,0.2156258,136,373,302,1,20,51.595551,1027,343000,518713.501107066,0.512284259787366,1
74,1.8,1.3,4,50700,2,0,-0.036244,0,0.3846466,133,139,97,1,10,51.51486,6412,290000,437924.515814733,0.510084537292181,1
80,4.3,0.9,5,51400,4,1,-0.30331,0,0.4269018,116,309,65,0,37,51.542706,13625,306000,461078.327297169,0.506791919271793,1
52,4.3,2.2,3,48000,3,0,0.009397,1,1.1210056,45,488,252,0,33,51.441372,1704,202000,304333.331087072,0.5066006489459,1
96,5.8,2.2,4,54000,6,0,0.207322,1,0.4045314,30,341,130,0,31,51.57785,3539,293000,440626.607894561,0.503845078138435,1
83,3,1.2,4,59700,6,0,-0.297213,1,0.581009,129,206,80,0,46,51.358712,4827,293000,440431.746372772,0.503180021750076,1
52,1.8,1.3,2,42400,6,0,0.174458,1,3.1772182,52,193,145,0,80,51.608976,7793,129000,193601.965273173,0.500790428474212,1
243,4.7,3.7,11,63300,6,0,-0.150385,1,0.8848736,69,110,87,0,129,51.307943,1804,785000,1168856.80672849,0.488989562711454,1
83,2.5,1.9,5,56700,4,0,-0.263503,1,0.1106092,120,173,129,0,23,51.385689,7227,296000,440339.050022028,0.487631925750095,1
157,5.1,2.4,5,64800,3,0,-0.139975,1,1.1514542,126,183,87,0,88,51.596138,9445,811000,1205227.08868756,0.486099986051251,1
59.62,2.8,2.8,3,45800,5,0,0.151139,1,0.6412848,48,267,261,0,49,51.484963,1287,168000,248373.669579112,0.478414699875664,1
98,6.1,1.2,5,72000,5,0,-0.276262,1,0.6406634,44,324,59,0,29,51.384997,4617,405000,598676.496656332,0.478213571990944,1
57.6,4.7,3.4,3,61700,6,0,0.154163,1,0.96317,18,492,356,0,39,51.451319,6609,205000,302636.502423581,0.476275621578443,1
55,2.5,2.1,3,69000,3,1,-0.152251,0,0.7543796,71,262,217,0,37,51.429616,6805,296000,436654.231198736,0.475183213509244,1
127,6.9,2.6,4,55300,4,1,0.048609,0,0.5238402,32,280,106,0,26,51.582113,684,440000,646176.082420285,0.468582005500648,1
66,3.5,2.8,3,59500,2,0,-0.010279,1,0.2094118,98,278,220,1,23,51.468065,3386,299000,438942.832274928,0.46803622834424,1
134,6,3.3,5,58700,2,1,-0.113922,0,0.4126096,75,255,137,0,30,51.556467,5548,887000,1301056.57205012,0.466805605468004,1
51,2.5,1.1,3,45700,2,0,-0.189699,0,0.0801606,32,255,115,1,36,51.539019,7253,341000,500172.473947371,0.466781448526014,1
245,11,7,8,60900,2,0,-0.178071,0,0.1323582,19,262,160,1,43,51.543137,3174,2233000,3271792.47366881,0.465200391253384,1
126,4.3,1.8,5,60700,1,1,-0.163139,0,0.3187782,45,178,76,0,34,51.517483,5819,1288000,1884276.96882232,0.462947957160186,1
214,9.1,4.8,8,55100,4,1,0.079264,0,0.8997872,140,242,127,0,26,51.58205,13103,628000,917237.91996768,0.460569936254268,1
95,3.2,1.8,4,72000,5,0,0.053783,1,0.6996964,23,192,105,0,66,51.412392,2519,350000,510818.000020661,0.459480000059033,1
130,6.5,3.9,7,68800,6,0,-0.304039,1,1.8803564,63,284,170,0,10,51.430931,7955,675000,981377.349261913,0.453892369276908,1
71,3.7,1.3,4,52700,3,0,-0.004373,0,0.4679142,149,295,99,1,17,51.567703,10347,328000,475969.06623543,0.451125201937286,1
86.51,5.9,4.3,4,48900,3,1,-0.098278,0,0.388375,143,409,298,0,22,51.587067,6690,371000,537472.780678164,0.448713694550308,1
105,7.4,7.2,4,51400,4,0,-0.082448,1,0.615186,45,367,354,1,79,51.404656,12449,386000,558265.845215248,0.446284573096498,1
47,1.5,1.2,3,70600,5,0,-0.335105,1,0.6095934,14,181,152,0,12,51.446133,4491,218000,314734.898258798,0.44373806540733,1
134,4,2.2,6,72900,2,2,-0.255683,0,0.6046222,91,156,83,0,7,51.503573,13112,9e+05,1292709.04600228,0.436343384446973,1
103,1.8,1.6,4,57100,4,0,-0.328675,1,0.826462,107,97,90,0,11,51.468531,8888,354000,507336.165977044,0.433153011234587,1
137,5.1,3,5,64000,3,1,-0.143444,1,0.5928156,22,240,140,0,26,51.447094,13961,688000,985090.578048876,0.431817700652436,1
56,2.5,1.4,3,56600,1,2,-0.093487,1,0.4828278,77,251,145,0,11,51.507685,6629,393000,562479.53027959,0.431245624121094,1
74.57,2.9,1.8,3,46800,5,0,-0.185763,1,0.8830094,28,235,146,0,58,51.369449,4575,211000,301240.63766732,0.427680747238482,1
88,5.4,2.5,3,65400,5,0,-0.159605,1,0.4095026,8,349,161,0,39,51.366945,13324,292000,416550.054327703,0.426541281944187,1
66,3.4,2.8,3,44600,2,0,-0.054682,0,0.5729308,94,265,221,1,19,51.569186,14382,311000,442463.944354528,0.422713647442212,1
127,5,3.7,5,59500,6,0,0.09496,1,0.9202934,66,222,165,0,77,51.388299,13510,413000,587392.419656278,0.422257674712537,1
61,2.5,1.5,3,55100,5,1,-0.284653,0,0.7848282,180,237,145,0,64,51.615684,561,231000,327870.309254197,0.419351988113406,1
109,4.9,2.3,6,65600,2,1,-0.239336,0,1.2564708,68,254,117,0,6,51.48395,68,722000,1021238.53520056,0.414457804986919,1
225,7.7,4,5,60100,2,1,-0.209049,0,0.4840706,104,193,100,0,12,51.504138,15945,1949000,2755482.32107503,0.413792878950759,1
97,5.1,2.1,3,57000,2,1,-0.14098,1,0.2448316,238,301,122,0,45,51.554527,293,547000,772808.097112946,0.412811877720194,1
184,8.8,4.1,7,62800,3,2,-0.301386,1,0.3007576,58,271,124,0,34,51.512121,11492,1089000,1529516.62874444,0.404514810600958,1
194,6.6,2.8,5,57500,1,3,-0.140835,1,0.201955,97,193,83,0,17,51.496062,3688,1861000,2611483.26035921,0.403268812659437,1
70.2,3,2.5,3,44400,2,0,-0.118832,0,0.4312516,165,257,213,1,33,51.540611,1388,349000,488303.087363389,0.399149247459566,1
84.9,4.2,3.1,4,66400,2,0,-0.169914,1,0.8550464,154,273,202,1,6,51.473939,114,473000,661627.779401535,0.398790231292886,1
200,8.6,4.2,7,55100,5,1,-0.292828,0,0.0708396,82,243,120,0,64,51.608753,6054,651000,910489.981244213,0.398602121726902,1
97,4.8,1.1,4,59600,2,2,-0.185207,0,0.537511,16,280,63,0,42,51.535218,6165,754000,1053634.94996667,0.397393832847047,1
78,4,1.6,3,70100,1,3,-0.18484,0,0.1609426,143,289,115,0,19,51.494404,5231,850000,1186036.4297881,0.3953369762213,1
32,3.1,1.2,1,49700,2,0,-0.050164,1,0.6934824,40,552,208,1,6,51.481154,1961,172000,239734.410875402,0.393804714391874,1
74,2.7,2.1,4,62600,2,0,-0.052594,0,0.2069262,71,203,161,1,12,51.511671,5483,373000,519737.545795055,0.393398246099342,1
134,7.2,2.6,6,45100,4,0,-0.03653,1,0.755001,52,279,99,0,33,51.434417,14177,402000,559581.478869101,0.391993728530102,1
99,5.9,2.5,3,67900,5,0,-0.196167,1,0.2249468,94,337,143,0,98,51.344529,6702,336000,467580.663804861,0.391609118466847,1
70.16,2.5,1.5,3,49000,4,0,-0.112502,1,0.6319638,58,218,132,0,46,51.394766,9790,229000,317712.088108581,0.38738903104184,1
123,13,1.9,6,48200,4,0,0.086518,1,0.584116,239,580,84,0,43,51.4848,368,339000,469129.985897907,0.383864265185567,1
50,2.8,1.4,3,48900,3,2,-0.284509,0,0.6133218,96,321,161,1,37,51.544373,12502,231000,319414.141468201,0.382745201161043,1
97,4.8,2.5,5,58500,2,0,-0.100412,1,0.3181568,117,282,149,0,14,51.469354,4751,586000,805823.51885902,0.375125458803789,1
65,2.2,1.3,3,58500,1,3,-0.195258,0,0.4654286,64,193,116,0,27,51.515499,9091,651000,894666.976146551,0.374296430332643,1
84,4.5,2,5,52500,3,0,-0.166933,1,0.3610334,74,276,119,0,18,51.418984,15745,381000,522579.291354514,0.371599189906862,1
118,5.7,2.2,5,55100,4,1,0.067692,0,0.282737,185,275,104,0,27,51.580232,14781,403000,552444.710724282,0.370830547702932,1
65,1.6,1.3,3,53500,2,2,-0.175736,0,0.5194904,42,143,110,0,43,51.528326,11681,389000,532740.351631871,0.369512472061365,1
146,3.2,1.7,6,72200,3,1,-0.317765,0,0.4573504,108,126,65,0,26,51.506817,9699,780000,1068203.55392275,0.369491735798403,1
55,3.7,0.3,3,47000,3,1,-0.091964,0,0.6164288,131,382,27,0,21,51.587984,12565,319000,435082.84874411,0.363896077567743,1
61,2.9,1.9,3,50900,4,1,-0.26836,0,0.6033794,94,268,180,0,59,51.584547,8336,233000,317437.24251993,0.362391598797983,1
61,2.1,1.6,3,46000,4,0,-0.09424,1,0.7817212,116,198,146,0,53,51.385909,5260,187000,254456.815363566,0.360731632960244,1
160,6.8,2.5,7,54800,3,0,-0.137252,1,0.5325398,49,240,86,0,39,51.424892,14297,680000,924816.211315518,0.36002384016988,1
181,11,2.8,7,67300,5,0,0.043094,1,1.8604716,58,405,106,0,78,51.375186,8470,621000,842930.039993978,0.357375265690785,1
72,3.1,1.3,3,63700,3,0,0.013162,1,0.2802514,58,248,102,0,20,51.453385,15176,341000,462736.392638963,0.356998218882591,1
228,8.8,7.1,4,66600,5,0,-0.313583,1,1.4080924,60,218,174,0,10,51.44248,14704,1200000,1625678.59441946,0.354732162016213,1
80.2,2.3,1.8,4,54300,1,0,-0.08324,0,0.3964532,80,173,135,1,22,51.532418,2894,511000,690297.346691853,0.350875433839242,1
54,2.1,1.1,3,55400,5,1,-0.185045,0,0.5387538,18,223,115,0,86,51.650572,5505,277000,373936.210361684,0.349950217912217,1
91,4.9,1.6,5,59600,4,0,0.052937,1,0.4095026,24,309,101,0,46,51.45961,1527,350000,472357.680355549,0.349593372444424,1
183,13,4.1,7,56200,5,0,-0.337286,0,1.5336152,40,395,125,1,83,51.60896,10491,781000,1053676.9586593,0.349138231317926,1
31,2,0.9,1,59500,2,0,-0.009528,1,0.2821156,52,371,160,1,23,51.467459,3727,197000,265170.149814285,0.346041369615659,1
219,11,4.8,6,63800,5,0,0.047712,1,0.9706268,78,272,124,0,66,51.391743,286,785000,1055882.0964845,0.345072734375157,1
162,7.1,2.6,7,56500,5,0,0.095623,1,0.7680504,98,249,89,0,36,51.441795,3097,542000,728999.565281115,0.345017648120138,1
119,6.4,3,6,65000,4,0,-0.249153,1,0.6580626,77,305,142,0,22,51.390781,12114,505000,678574.452432654,0.343711786995354,1
52,1.5,1,2,36900,3,0,-0.060158,1,0.3778112,57,159,113,0,13,51.606299,8794,195000,261704.203810808,0.342072840055428,1
40.95,2.1,2,2,48000,3,0,0.009397,1,1.1210056,45,293,282,0,33,51.441372,5224,171000,229323.76864898,0.34107467046187,1
108,5.5,2,5,55700,6,0,0.105561,1,0.4585932,64,288,105,0,103,51.362174,12471,397000,532131.946679329,0.340382737227528,1
41,2,0.9,2,58200,2,0,-0.152963,0,0.1000454,61,253,118,1,48,51.555622,13047,336000,450281.568982461,0.340123717209704,1
56,0.8,0.8,2,61900,3,1,-0.278,0,0.5878444,108,81,81,1,6,51.479137,5084,289000,386669.151206717,0.337955540507673,1
96,3.5,1.2,5,40700,4,0,-0.066197,0,0.4107454,64,208,70,1,17,51.614402,7533,327000,436845.124709951,0.335917812568657,1
101.59,4.6,2.9,4,55500,6,1,-0.426742,0,0.167778,13,232,149,0,73,51.613421,226,430000,573151.75964805,0.332911068948953,1
101,5.5,2.6,5,63700,3,0,0.008895,1,0.2187328,90,307,145,0,21,51.449951,10671,488000,649341.660411694,0.330618156581339,1
105,3.5,2.9,4,64000,3,1,-0.144201,1,0.4467866,56,189,156,0,27,51.444381,1301,553000,735239.275860883,0.329546610960005,1
112.44,3.7,3.6,5,60900,2,1,-0.174464,0,0.2199756,83,195,189,0,59,51.54318,14365,889000,1181917.87626989,0.329491424375584,1
112,4.8,1.5,5,44000,3,1,-0.079547,1,0.4672928,32,224,65,1,13,51.584181,7534,442000,587406.235115744,0.328973382614805,1
93,3.9,1.3,4,51300,6,0,0.160954,1,0.947635,107,218,72,0,50,51.475969,5648,285000,378403.021720705,0.327729900774404,1
62,4.2,0.4,5,55400,5,0,-0.277247,1,0.3952104,77,386,38,0,27,51.380964,4494,291000,385509.629633732,0.32477535956609,1
53,2.1,1,2,36500,6,0,0.215728,1,1.699529,27,225,110,0,50,51.610317,10906,155000,205272.30804391,0.324337471251035,1
114,6.5,2.5,7,56500,5,0,0.106293,1,0.5698238,81,299,104,0,31,51.441631,12218,405000,536248.011521024,0.324069164249442,1
192,6.3,3.7,6,55700,2,1,-0.163444,0,0.4766138,46,171,97,0,52,51.544312,14222,1722000,2278422.31607561,0.323125619091528,1
171,7.6,4.4,7,74000,2,0,-0.166885,1,0.7133672,116,253,145,1,19,51.456824,9854,1233000,1630069.11258967,0.322034965603949,1
149.04,4.8,3.4,5,52500,3,1,-0.172232,0,0.7786142,71,194,136,0,17,51.411954,14259,585000,772596.913388641,0.320678484425028,1
81,2.1,2.2,2,56600,1,1,-0.098875,0,0.360412,34,172,177,0,9,51.50217,11246,556000,733898.650835027,0.319961602221272,1
114,4.7,1,6,63500,1,1,-0.108532,0,0.2653378,59,235,50,0,43,51.536515,2812,1087000,1433131.83502265,0.318428551078797,1
171,7,4,7,55900,3,0,-0.117063,1,0.6095934,84,232,130,0,68,51.440855,10494,747000,984589.396293923,0.318058094101637,1
69,3.2,2.9,3,58600,3,2,-0.289934,0,0.2367534,119,262,241,0,33,51.513313,3759,346000,455971.691841139,0.317837259656472,1
119,9.4,2.6,6,54300,4,0,-0.162435,1,0.9575774,52,447,122,0,71,51.612998,5657,495000,651528.122081314,0.316218428447099,1
92,5.1,1.5,4,50700,3,0,-0.082207,0,0.4964986,96,285,83,1,57,51.381549,13803,315000,414341.967410003,0.315371325111119,1
126,3.7,1.7,5,72900,4,1,-0.19336,0,0.2466958,75,155,67,0,19,51.404925,2740,557000,732081.978712173,0.314330302894386,1
57.49,3.3,3.1,3,50700,2,0,-0.016865,0,0.0515762,134,383,358,1,7,51.468591,758,269000,353494.580908716,0.314106248731286,1
65,3.1,0.7,4,53500,6,0,-0.419673,1,1.1539398,66,266,60,0,15,51.436234,15822,289000,379719.77924363,0.313909270739204,1
37,3,2.2,2,43400,3,1,-0.258148,0,1.224158,122,468,355,0,34,51.567365,13875,189000,248013.161766874,0.312238951147482,1
84,3.6,1.2,5,67300,4,0,-0.244174,1,0.2964078,137,246,76,0,16,51.398197,5103,420000,550307.646765481,0.310256301822574,1
227,7.7,4,8,76600,2,0,-0.094036,1,0.3305848,126,230,120,0,30,51.455141,3738,1250000,1637305.93871478,0.309844750971827,1
